IATA/FAA Code:    Airport:                 Flights: 
DEN               DENVER                   44
IAH               HOUSTON                  36
ATL               ATLANTA                  35
CAN               GUANGZHOU                35
ORD               CHICAGO                  32
KUL               KUALA LUMPUR             32
JFK               NEW YORK                 30
CGK               JAKARTA                  26
LHR               LONDON                   24
CLT               CHARLOTTE                20
PVG               SHANGHAI                 20
CDG               PARIS                    19
BKK               BANGKOK                  16
FCO               ROME                     14
LAS               LAS VEGAS                14
HND               TOKYO                    13
MUC               MUNICH                   13
AMS               AMSTERDAM                13
MAD               MADRID                   12
MIA               MIAMI                    11
PEK               BEIJING                  11
DFW               DALLAS/FORT WORTH        10
IST               ISTANBUL                 0
SIN               SINGAPORE                0
DXB               DUBAI                    0
FRA               FRANKFURT                0
SFO               SAN FRANCISCO            0
PHX               PHOENIX                  0
LAX               LOS ANGELES              0
HKG               HONG KONG                0
