Airport:        Depart:    Arrival:   Nautical Miles: 
HUR0974O        DEN        PVG        5816.510218664352
WPW9201U        DFW        PEK        6040.40822244153
DKZ3042O        MIA        SFO        2241.2206245094426
HZT2506M        IAH        AMS        4343.178396258585
KJR6646J        IAH        BKK        8019.5054259044555
SQU6245R        DEN        FRA        4363.97000794852
MBA8071P        KUL        PEK        2381.384455099828
QHU1140O        CDG        LAS        4714.198960660702
VYU9214I        ORD        DXB        6280.914661313146
MBW8071P        KUL        PEK        2381.384455099828
ATT7791R        AMS        DEN        4166.902977517127
EWH6301Y        CAN        DFW        7002.3506324573955
VYW5940P        LAS        SIN        7666.945601789908
WSK1289Z        CLT        DEN        1159.1176341217197
JVY9791G        PVG        FCO        4947.437836142853
VDC9164W        FCO        LAS        5308.251743717151
FYL5866L        ATL        HKG        7283.0602562381455
4QU6245R        DEN        FRA        4363.97000794852
XXQ4064B        JFK        FRA        3338.863130066399
SOH3431A        ORD        MIA        1041.3961450912711
GMO5938W        LHR        PEK        4398.978704391416
ULZ8130D        CAN        DFW        7002.3506324573955
PME8178S        DEN        PEK        5498.977007275657
MOO1786A        MAD        FRA        765.3359175479371
TMV7633W        CGK        DXB        3532.620034201484
DAU2617A        CGK        SFO        7533.106022315909
RUM0422W        MUC        MAD        807.0160354820963
BER7172M        KUL        LAS        7688.481122976476
